subject x y x_std_dev y_std_dev 
63 	 1.88032539 	 -5.57229508 	 0.00001974 	 0.00004067 
25 	 1.77648406 	 -2.44386354 	 0.00002415 	 0.00003114 
45 	 4.42330143 	 -4.98170313 	 0.00010428 	 0.00010507 
16 	 -0.68768043 	 -5.11014717 	 0.00004077 	 0.00008785 
61 	 -0.85117881 	 -2.49223307 	 0.00005569 	 0.00004923 
36 	 4.42094946 	 -2.37103644 	 0.00006128 	 0.00009175 
18 	 4.34924478 	 0.25444762 	 0.00007713 	 0.00012118 
9 	 3.07964257 	 0.24942861 	 0.00003449 	 0.00005609 
72 	 0.46702834 	 0.18511889 	 0.00003942 	 0.00002907 
70 	 -1.00015496 	 0.17453779 	 0.00006536 	 0.00005926 
81 	 0.99953879 	 2.72607308 	 0.00003285 	 0.00002186 
54 	 -1.04151642 	 2.80020985 	 0.00012014 	 0.00005809 
27 	 0.34561556 	 5.02433367 	 0.00004452 	 0.00004957 
7 	 2.96594198 	 5.09583446 	 0.00006062 	 0.00008501 
90 	 4.30562926 	 2.86663299 	 0.00003748 	 0.00004206 
